Gene Symbol,HK index,Mixing ratio,Sigma,Zero (%),F-statistics
FAU,0.88075,0.11907,0.35199,0,2.15413
RPS7,0.88015,0.01595,0.57518,0.00262,4.73637
RDX,0.88007,0.057,0.63717,0.00065,4.10187
EWSR1,0.88003,0.09513,0.57327,0,3.10841
STAU1,0.88001,0.04192,0.56702,0,4.80632
RPL37,0.88,0,0.68259,0,4.69226
C14ORF166,0.87996,0.06002,0.53601,0,4.5927
ARGLU1,0.87979,0.04142,0.68685,0.00328,3.79269
CBX1,0.87901,0.06324,0.63046,0.00394,3.63018
MAPK1IP1L,0.87855,0.08866,0.48875,0.00262,3.35819
SEC61B,0.87849,0.03292,0.52926,0.00065,4.92818
ATP6V1D,0.87819,0.06336,0.61519,0.00394,3.76468
RAB1A,0.87803,0.08357,0.50897,0.00065,3.85846
GORASP2,0.87803,0.06858,0.60149,0.00924,3.24943
RPS16,0.87799,0,0.61215,0,5.07236
RPL6,0.87797,0.04666,0.43115,0,5.05155
TXN2,0.87764,0.046,0.62704,0.00197,4.307
HNRNPC,0.87745,0.12544,0.35799,0,1.91999
MRPL16,0.87737,0.04401,0.63882,0.00725,3.93503
MRPL44,0.87732,0.07139,0.61241,0.00592,3.29116
ACP1,0.8771,0.02843,0.59518,0.00197,4.69774
PLRG1,0.87689,0.06882,0.6525,0.00858,2.76198
SMARCB1,0.87685,0.07244,0.63947,0.00791,2.78085
SMC3,0.87673,0.0317,0.60987,0.00197,4.60704
PSMB4,0.87638,0,0.60517,0,5.13641
CEP57,0.87593,0.05753,0.66224,0.0146,2.89988
FTSJ3,0.87565,0.06185,0.68318,0.00526,3.18791
WDR46,0.87564,0.0471,0.66397,0.00262,4.08788
FKBP2,0.87484,0.05258,0.66803,0.0046,3.77574
TSR1,0.87456,0.07106,0.62919,0.00328,3.58058
EIF2S1,0.87445,0.11334,0.52679,0,2.43809
RPS15,0.87412,0,0.62381,0,5.05563
UBAP2L,0.87402,0.04973,0.6821,0.00328,3.8832
ARF6,0.87399,0.05009,0.70098,0,4.15407
COX7A2,0.87393,0,0.59262,0,5.2275
PNO1,0.87374,0.04882,0.63928,0.00394,4.15222
SAFB2,0.87362,0.04121,0.7233,0.0046,3.54416
DENR,0.8735,0.03936,0.5823,0.00197,4.7165
ZCCHC17,0.87345,0.03862,0.62849,0.00658,4.24029
PTCD3,0.87279,0.06735,0.58356,0.00526,3.91952
SYAP1,0.87267,0.03733,0.74757,0.01325,2.51752
EIF5A,0.87235,0,0.84168,0,2.84217
RPP30,0.87225,0.08273,0.59449,0.00791,2.85268
RPS18,0.87216,0.08932,0.40337,0,4.17565
EIF3IP1,0.87199,0.08175,0.53497,0.0173,2.62759
RQCD1,0.87144,0.03739,0.73402,0.00197,3.84217
RAD21,0.87129,0.06442,0.75007,0.00065,3.00529
UBE2K,0.87124,0.10467,0.52349,0.00065,3.0237
CEBPZ,0.87106,0.01287,0.70156,0.00262,4.32416
